x (nodes),y (nodes),x (m),y (m),h + zb (m),zb (m),h (m),u (m/s),v (m/s), q (m^2/s), h analytical (m), u analytical (m/s), h analytical + zb (m)
    1,    1,      0.0033,      0.0033,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,    2,      0.0033,      0.0100,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,    3,      0.0033,      0.0167,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,    4,      0.0033,      0.0233,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,    5,      0.0033,      0.0300,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,    6,      0.0033,      0.0367,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,    7,      0.0033,      0.0434,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,    8,      0.0033,      0.0500,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,    9,      0.0033,      0.0567,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,   10,      0.0033,      0.0634,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,   11,      0.0033,      0.0700,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,   12,      0.0033,      0.0767,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,   13,      0.0033,      0.0834,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,   14,      0.0033,      0.0900,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,   15,      0.0033,      0.0967,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,   16,      0.0033,      0.1034,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,   17,      0.0033,      0.1101,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,   18,      0.0033,      0.1167,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,   19,      0.0033,      0.1234,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,   20,      0.0033,      0.1301,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,   21,      0.0033,      0.1367,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,   22,      0.0033,      0.1434,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,   23,      0.0033,      0.1501,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,   24,      0.0033,      0.1567,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,   25,      0.0033,      0.1634,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,   26,      0.0033,      0.1701,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,   27,      0.0033,      0.1768,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,   28,      0.0033,      0.1834,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,   29,      0.0033,      0.1901,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,   30,      0.0033,      0.1968,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,   31,      0.0033,      0.2034,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,   32,      0.0033,      0.2101,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,   33,      0.0033,      0.2168,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,   34,      0.0033,      0.2234,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,   35,      0.0033,      0.2301,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,   36,      0.0033,      0.2368,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,   37,      0.0033,      0.2435,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,   38,      0.0033,      0.2501,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,   39,      0.0033,      0.2568,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
