 # Date: Fri May  8 10:11:08 2026
 # Fr =                  Infinity
 # tau =   1.0000000000000000      , uO =   0.0000000000000000     
 # Iteration No.:           61
 # Lx =***    Ly =   5
 #      Results of the computations
 # x   y     h(i,j)      u(i,j)      v(i,j)
 #------------------------------------------
   1   1    0.000000    Infinity         NaN
   1   2    0.000000    Infinity         NaN
   1   3    0.000000    Infinity         NaN
   1   4    0.000000    Infinity         NaN
   1   5    0.000000    Infinity         NaN
   2   1************ 2100.070653    0.000000
   2   2************ 2100.070653    0.000000
   2   3************ 2100.070653    0.000000
   2   4************ 2100.070653    0.000000
   2   5************ 2100.070653    0.000000
   3   1************ 2100.000001    0.000000
   3   2************ 2100.000001    0.000000
   3   3************ 2100.000001    0.000000
   3   4************ 2100.000001    0.000000
   3   5************ 2100.000001    0.000000
   4   1************ 2100.000012    0.000000
   4   2************ 2100.000012    0.000000
   4   3************ 2100.000012    0.000000
   4   4************ 2100.000012    0.000000
   4   5************ 2100.000012    0.000000
   5   125986.943881 2121.560307    0.000000
   5   225986.943881 2121.560307    0.000000
   5   325986.943881 2121.560307    0.000000
   5   425986.943881 2121.560307    0.000000
   5   525986.943881 2121.560307    0.000000
   6   1 1155.852550 1863.097305    0.000000
   6   2 1155.852550 1863.097305    0.000000
   6   3 1155.852550 1863.097305    0.000000
   6   4 1155.852550 1863.097305    0.000000
   6   5 1155.852550 1863.097305    0.000000
   7   1  160.458625 2863.888982    0.000000
   7   2  160.458625 2863.888982    0.000000
   7   3  160.458625 2863.888982    0.000000
   7   4  160.458625 2863.888982    0.000000
   7   5  160.458625 2863.888982    0.000000
   8   1  152.499203 1567.561612    0.000000
   8   2  152.499203 1567.561612    0.000000
   8   3  152.499203 1567.561612    0.000000
   8   4  152.499203 1567.561612    0.000000
   8   5  152.499203 1567.561612    0.000000
   9   1   65.797595 2231.444986    0.000000
   9   2   65.797595 2231.444986    0.000000
   9   3   65.797595 2231.444986    0.000000
   9   4   65.797595 2231.444986    0.000000
   9   5   65.797595 2231.444986    0.000000
  10   1   77.665028 1635.116690    0.000000
  10   2   77.665028 1635.116690    0.000000
  10   3   77.665028 1635.116690    0.000000
  10   4   77.665028 1635.116690    0.000000
  10   5   77.665028 1635.116690    0.000000
  11   1   61.577636 1846.614310    0.000000
  11   2   61.577636 1846.614310    0.000000
  11   3   61.577636 1846.614310    0.000000
  11   4   61.577636 1846.614310    0.000000
  11   5   61.577636 1846.614310    0.000000
  12   1   64.977087 1706.447003    0.000000
  12   2   64.977087 1706.447003    0.000000
  12   3   64.977087 1706.447003    0.000000
  12   4   64.977087 1706.447003    0.000000
  12   5   64.977087 1706.447003    0.000000
  13   1   61.737912 1755.454320    0.000000
  13   2   61.737912 1755.454320    0.000000
  13   3   61.737912 1755.454320    0.000000
  13   4   61.737912 1755.454320    0.000000
  13   5   61.737912 1755.454320    0.000000
  14   1   62.518073 1725.171194    0.000000
  14   2   62.518073 1725.171194    0.000000
  14   3   62.518073 1725.171194    0.000000
  14   4   62.518073 1725.171194    0.000000
  14   5   62.518073 1725.171194    0.000000
  15   1   61.996292 1730.896612    0.000000
  15   2   61.996292 1730.896612    0.000000
  15   3   61.996292 1730.896612    0.000000
  15   4   61.996292 1730.896612    0.000000
  15   5   61.996292 1730.896612    0.000000
  16   1   62.131476 1724.730588    0.000000
  16   2   62.131476 1724.730588    0.000000
  16   3   62.131476 1724.730588    0.000000
  16   4   62.131476 1724.730588    0.000000
  16   5   62.131476 1724.730588    0.000000
  17   1   62.153297 1722.013149    0.000000
  17   2   62.153297 1722.013149    0.000000
  17   3   62.153297 1722.013149    0.000000
  17   4   62.153297 1722.013149    0.000000
  17   5   62.153297 1722.013149    0.000000
  18   1   62.206264 1719.415591    0.000000
  18   2   62.206264 1719.415591    0.000000
  18   3   62.206264 1719.415591    0.000000
  18   4   62.206264 1719.415591    0.000000
  18   5   62.206264 1719.415591    0.000000
  19   1   62.277464 1717.124291    0.000000
  19   2   62.277464 1717.124291    0.000000
  19   3   62.277464 1717.124291    0.000000
  19   4   62.277464 1717.124291    0.000000
  19   5   62.277464 1717.124291    0.000000
  20   1   62.424611 1712.156739    0.000000
  20   2   62.424611 1712.156739    0.000000
  20   3   62.424611 1712.156739    0.000000
  20   4   62.424611 1712.156739    0.000000
  20   5   62.424611 1712.156739    0.000000
  21   1   62.620048 1699.055282    0.000000
  21   2   62.620048 1699.055282    0.000000
  21   3   62.620048 1699.055282    0.000000
  21   4   62.620048 1699.055282    0.000000
  21   5   62.620048 1699.055282    0.000000
  22   1   61.519199 1735.539719    0.000000
  22   2   61.519199 1735.539719    0.000000
  22   3   61.519199 1735.539719    0.000000
  22   4   61.519199 1735.539719    0.000000
  22   5   61.519199 1735.539719    0.000000
  23   1   61.619356 1797.473439    0.000000
  23   2   61.619356 1797.473439    0.000000
  23   3   61.619356 1797.473439    0.000000
  23   4   61.619356 1797.473439    0.000000
  23   5   61.619356 1797.473439    0.000000
  24   1   74.021369 1384.858603    0.000000
  24   2   74.021369 1384.858603    0.000000
  24   3   74.021369 1384.858603    0.000000
  24   4   74.021369 1384.858603    0.000000
  24   5   74.021369 1384.858603    0.000000
  25   1   56.141120 1453.383885    0.000000
  25   2   56.141120 1453.383885    0.000000
  25   3   56.141120 1453.383885    0.000000
  25   4   56.141120 1453.383885    0.000000
  25   5   56.141120 1453.383885    0.000000
  26   1   18.539027 6827.723973    0.000000
  26   2   18.539027 6827.723973    0.000000
  26   3   18.539027 6827.723973    0.000000
  26   4   18.539027 6827.723973    0.000000
  26   5   18.539027 6827.723973    0.000000
  27   1  243.579903  117.241496    0.000000
  27   2  243.579903  117.241496    0.000000
  27   3  243.579903  117.241496    0.000000
  27   4  243.579903  117.241496    0.000000
  27   5  243.579903  117.241496    0.000000
  28   1 1657.892989-1993.301989   -0.000000
  28   2 1657.892989-1993.301989   -0.000000
  28   3 1657.892989-1993.301989   -0.000000
  28   4 1657.892989-1993.301989   -0.000000
  28   5 1657.892989-1993.301989   -0.000000
  29   1 -370.371153 -442.902153   -0.000000
  29   2 -370.371153 -442.902153   -0.000000
  29   3 -370.371153 -442.902153   -0.000000
  29   4 -370.371153 -442.902153   -0.000000
  29   5 -370.371153 -442.902153   -0.000000
  30   1-3307.638646 -135.443705   -0.000000
  30   2-3307.638646 -135.443705   -0.000000
  30   3-3307.638646 -135.443705   -0.000000
  30   4-3307.638646 -135.443705   -0.000000
  30   5-3307.638646 -135.443705   -0.000000
  31   1  706.121892  271.534409    0.000000
  31   2  706.121892  271.534409    0.000000
  31   3  706.121892  271.534409    0.000000
  31   4  706.121892  271.534409    0.000000
  31   5  706.121892  271.534409    0.000000
  32   1 1743.327119 1916.831081    0.000000
  32   2 1743.327119 1916.831081    0.000000
  32   3 1743.327119 1916.831081    0.000000
  32   4 1743.327119 1916.831081    0.000000
  32   5 1743.327119 1916.831081    0.000000
  33   1 7899.697517-2116.374005   -0.000000
  33   2 7899.697517-2116.374005   -0.000000
  33   3 7899.697517-2116.374005   -0.000000
  33   4 7899.697517-2116.374005   -0.000000
  33   5 7899.697517-2116.374005   -0.000000
  34   1 -101.652824 2638.061671   -0.000000
  34   2 -101.652824 2638.061671   -0.000000
  34   3 -101.652824 2638.061671   -0.000000
  34   4 -101.652824 2638.061671   -0.000000
  34   5 -101.652824 2638.061671   -0.000000
  35   1************  -35.072610   -0.000000
  35   2************  -35.072610   -0.000000
  35   3************  -35.072610   -0.000000
  35   4************  -35.072610   -0.000000
  35   5************  -35.072610   -0.000000
  36   1 1285.933064  -55.004347    0.000000
  36   2 1285.933064  -55.004347    0.000000
  36   3 1285.933064  -55.004347    0.000000
  36   4 1285.933064  -55.004347    0.000000
  36   5 1285.933064  -55.004347    0.000000
  37   1 7668.003337 2215.499908    0.000000
  37   2 7668.003337 2215.499908    0.000000
  37   3 7668.003337 2215.499908    0.000000
  37   4 7668.003337 2215.499908    0.000000
  37   5 7668.003337 2215.499908    0.000000
  38   1  222.985561 2182.603837    0.000000
  38   2  222.985561 2182.603837    0.000000
  38   3  222.985561 2182.603837    0.000000
  38   4  222.985561 2182.603837    0.000000
  38   5  222.985561 2182.603837    0.000000
  39   1 -170.181282 2425.088373   -0.000000
  39   2 -170.181282 2425.088373   -0.000000
  39   3 -170.181282 2425.088373   -0.000000
  39   4 -170.181282 2425.088373   -0.000000
  39   5 -170.181282 2425.088373   -0.000000
  40   1   56.872605  936.528418   -0.000000
  40   2   56.872605  936.528418   -0.000000
  40   3   56.872605  936.528418   -0.000000
  40   4   56.872605  936.528418   -0.000000
  40   5   56.872605  936.528418   -0.000000
  41   1   51.797291  766.164292    0.000000
  41   2   51.797291  766.164292    0.000000
  41   3   51.797291  766.164292    0.000000
  41   4   51.797291  766.164292    0.000000
  41   5   51.797291  766.164292    0.000000
  42   1   89.233375 1599.045508    0.000000
  42   2   89.233375 1599.045508    0.000000
  42   3   89.233375 1599.045508    0.000000
  42   4   89.233375 1599.045508    0.000000
  42   5   89.233375 1599.045508    0.000000
  43   1   63.133676 1645.995613    0.000000
  43   2   63.133676 1645.995613    0.000000
  43   3   63.133676 1645.995613    0.000000
  43   4   63.133676 1645.995613    0.000000
  43   5   63.133676 1645.995613    0.000000
  44   1   56.160751 1703.654804    0.000000
  44   2   56.160751 1703.654804    0.000000
  44   3   56.160751 1703.654804    0.000000
  44   4   56.160751 1703.654804    0.000000
  44   5   56.160751 1703.654804    0.000000
  45   1   56.423930 1645.859540    0.000000
  45   2   56.423930 1645.859540    0.000000
  45   3   56.423930 1645.859540    0.000000
  45   4   56.423930 1645.859540    0.000000
  45   5   56.423930 1645.859540    0.000000
  46   1   56.528308 1558.769043    0.000000
  46   2   56.528308 1558.769043    0.000000
  46   3   56.528308 1558.769043    0.000000
  46   4   56.528308 1558.769043    0.000000
  46   5   56.528308 1558.769043    0.000000
  47   1   53.110200 1517.217337    0.000000
  47   2   53.110200 1517.217337    0.000000
  47   3   53.110200 1517.217337    0.000000
  47   4   53.110200 1517.217337    0.000000
  47   5   53.110200 1517.217337    0.000000
  48   1   47.308973 1522.792611    0.000000
  48   2   47.308973 1522.792611    0.000000
  48   3   47.308973 1522.792611    0.000000
  48   4   47.308973 1522.792611    0.000000
  48   5   47.308973 1522.792611    0.000000
  49   1   41.327666 1542.787524    0.000000
  49   2   41.327666 1542.787524    0.000000
  49   3   41.327666 1542.787524    0.000000
  49   4   41.327666 1542.787524    0.000000
  49   5   41.327666 1542.787524    0.000000
